time,total,ipad,water_heater,lamp
2020-5-24 15:20:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:20:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:20:33,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:20:43,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:20:53,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:21:3,2.1402467825824574,0.0,2.1978764759003036,0.0
2020-5-24 15:21:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:21:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:21:33,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:21:43,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:21:53,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:22:3,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:22:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:22:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:22:33,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:22:43,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:22:53,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:23:3,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:23:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:23:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:23:33,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:23:43,4.268333090009818,0.0,2.1978764759003036,0.0
2020-5-24 15:23:53,2.1402467825824574,2.103410989733614,0.0,0.0
2020-5-24 15:24:3,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:24:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:24:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:24:33,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:24:43,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:24:53,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:25:3,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:25:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:25:23,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:25:33,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:25:43,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:25:53,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:26:3,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:26:13,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:26:23,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:26:34,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:26:44,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:26:54,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:27:4,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:27:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:27:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:27:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:27:44,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:27:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:28:4,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:28:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:28:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:28:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:28:44,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:28:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:29:4,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:29:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:29:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:29:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:29:44,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:29:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:30:4,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:30:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:30:24,2.1402467825824574,0.0,2.1978764759003036,0.0
2020-5-24 15:30:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:30:44,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:30:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:31:4,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:31:14,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:31:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:31:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:31:44,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:31:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:32:4,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:32:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:32:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:32:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:32:44,4.268333090009818,0.0,0.0,2.130227803379574
2020-5-24 15:32:54,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:33:4,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:33:14,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:33:24,2.1402467825824574,0.0,2.1978764759003036,0.0
2020-5-24 15:33:34,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:33:44,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:33:54,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:34:4,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:34:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:34:24,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:34:34,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:34:44,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:34:54,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:4,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:14,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:24,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:35,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:45,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:35:55,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:36:5,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:36:15,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:36:25,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:36:35,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:36:45,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:36:55,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:37:5,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:37:15,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:37:25,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:37:35,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:37:45,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:37:55,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:38:5,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:38:15,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:38:25,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:38:35,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:38:45,4.268333090009818,0.0,0.0,0.0
2020-5-24 15:38:55,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:39:5,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:39:15,2.1402467825824574,0.0,0.0,0.0
2020-5-24 15:39:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:39:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:39:45,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:39:55,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:40:5,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:40:15,10.652523112160281,6.370479708832963,0.0,0.0
